TAS7x00 Report File,,,,,,,
163,0.326,-4.91E-05,-0.000271912,,,,
164,0.328,-9.87E-05,-0.000306721,,,,
165,0.33,-6.86E-05,-0.00034463,,,,
166,0.332,-7.87E-05,-0.000351782,,,,
167,0.334,-9.49E-05,-0.000367518,,,,
168,0.336,-0.000141597,-0.000403519,,,,
169,0.338,-0.000144935,-0.0003823,,,,
170,0.34,-0.000151611,-0.000397797,,,,
171,0.342,-0.000213123,-0.000390883,,,,
172,0.344,-0.000230289,-0.000438567,,,,
173,0.346,-0.000267959,-0.000435706,,,,
174,0.348,-0.000311351,-0.000462885,,,,
175,0.35,-0.000337577,-0.000461932,,,,
176,0.352,-0.00035522,-0.000496502,,,,
177,0.354,-0.000341392,-0.000515576,,,,
178,0.356,-0.000312305,-0.000558014,,,,
179,0.358,-0.000301815,-0.000548954,,,,
180,0.36,-0.000318504,-0.000531788,,,,
181,0.362,-0.000321365,-0.000520344,,,,
182,0.364,-0.000371433,-0.000537034,,,,
183,0.366,-0.000408149,-0.000550623,,,,
184,0.368,-0.000472522,-0.000543709,,,,
185,0.37,-0.000513054,-0.000507708,,,,
186,0.372,-0.000553108,-0.0005089,,,,
187,0.374,-0.000557876,-0.000482436,,,,
188,0.376,-0.00056932,-0.000492926,,,,
189,0.378,-0.00058744,-0.000477429,,,,
190,0.38,-0.000616527,-0.000455494,,,,
191,0.382,-0.000634647,-0.000420685,,,,
192,0.384,-0.000674224,-0.000391121,,,,
193,0.386,-0.000687099,-0.000376578,,,,
194,0.388,-0.000717617,-0.000381585,,,,
195,0.39,-0.000706649,-0.000384207,,,,
196,0.392,-0.000770546,-0.000385161,,,,
197,0.394,-0.00074575,-0.00041544,,,,
198,0.396,-0.000728107,-0.000370141,,,,
199,0.398,-0.000715709,-0.000378724,,,,
200,0.4,-0.0006809,-0.000326987,,,,
201,0.402,-0.000658966,-0.000331994,,,,
202,0.404,-0.00063274,-0.000287886,,,,
203,0.406,-0.000593639,-0.000266428,,,,
204,0.408,-0.000550724,-0.000275727,,,,
205,0.41,-0.000519729,-0.000255938,,,,
206,0.412,-0.000511146,-0.000244256,,,,
207,0.414,-0.000442958,-0.000224228,,,,
208,0.416,-0.000393367,-0.000213738,,,,
209,0.418,-0.000434375,-0.000180359,,,,
210,0.42,-0.00036428,-0.000180598,,,,
211,0.422,-0.000402904,-0.000141974,,,,
212,0.424,-0.000355697,-0.000111933,,,,
213,0.426,-0.000344253,-6.04E-05,,,,
214,0.428,-0.000310875,-3.87E-05,,,,
215,0.43,-0.000304676,-3.95E-05,,,,
216,0.432,-0.000254131,-2.13E-05,,,,
217,0.434,-0.000214077,-2.25E-05,,,,
218,0.436,-0.00017593,9.90E-06,,,,
219,0.438,-0.000147319,2.78E-05,,,,
220,0.44,-0.000119186,1.09E-05,,,,
221,0.442,-0.000136352,2.90E-05,,,,
222,0.444,-0.000149704,4.02E-05,,,,
223,0.446,-6.48E-05,7.93E-05,,,,
224,0.448,-9.77E-05,7.78E-05,,,,
225,0.45,-9.15E-05,8.14E-05,,,,
226,0.452,-9.73E-05,0.000102405,,,,
227,0.454,-7.20E-05,9.95E-05,,,,
228,0.456,-5.39E-05,8.09E-05,,,,
229,0.458,-3.34E-05,9.67E-05,,,,
230,0.46,-2.91E-05,0.000127439,,,,
231,0.462,-5.24E-05,0.000129823,,,,
232,0.464,-4.96E-05,0.000155573,,,,
233,0.466,-8.82E-05,0.000206356,,,,
234,0.468,-5.00E-05,0.000182514,,,,
235,0.47,-8.63E-05,0.000207786,,,,
236,0.472,-0.00010202,0.000173931,,,,
237,0.474,-3.96E-05,0.000136737,,,,
238,0.476,-3.00E-05,0.000135307,,,,
239,0.478,4.39E-05,0.000120525,,,,
240,0.48,7.92E-05,0.000132446,,,,
241,0.482,0.000104451,0.000100259,,,,
242,0.484,0.000151181,6.88E-05,,,,
243,0.486,0.000120663,3.47E-05,,,,
244,0.488,0.000145936,6.16E-05,,,,
245,0.49,0.00016787,2.87E-05,,,,
246,0.492,0.000168824,4.45E-05,,,,
247,0.494,0.000201725,-2.80E-05,,,,
248,0.496,0.000220799,-2.73E-05,,,,
249,0.498,0.000214123,6.56E-06,,,,
250,0.5,0.000196957,-2.54E-05,,,,
251,0.502,0.000184083,1.13E-05,,,,
252,0.504,0.000199341,1.59E-05,,,,
253,0.506,0.000143075,4.11E-05,,,,
254,0.508,0.000154042,2.13E-05,,,,
255,0.51,0.000172638,-3.04E-05,,,,
256,0.512,0.000136876,-1.51E-05,,,,
257,0.514,0.000151658,-5.02E-05,,,,
258,0.516,0.000114941,-5.66E-05,,,,
259,0.518,0.00011971,-8.79E-05,,,,
260,0.52,0.000107312,-0.000113364,,,,
261,0.522,0.000162148,-9.14E-05,,,,
262,0.524,0.000171208,-0.000141736,,,,
263,0.526,0.000146889,-0.000173445,,,,
264,0.528,0.000190758,-0.000231858,,,,
265,0.53,0.000145936,-0.000248785,,,,
266,0.532,0.000184083,-0.00028431,,,,
267,0.534,0.000192666,-0.000276919,,,,
268,0.536,0.000214123,-0.000300761,,,,
269,0.538,0.000226521,-0.00035822,,,,
270,0.54,0.000209832,-0.000354882,,,,
271,0.542,0.000161671,-0.00039136,,,,
272,0.544,0.000131154,-0.00041997,,,,
273,0.546,0.000110173,-0.000435467,,,,
274,0.548,0.000105404,-0.000467177,,,,
